2018-03-21 20:35:23 startup archives unpack
2018-03-21 20:35:23 install liblocale-gettext-perl:amd64 <none> 1.07-1build1
2018-03-21 20:35:23 status half-installed liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:23 status unpacked liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:23 status unpacked liblocale-gettext-perl:amd64 1.07-1build1
2018-03-21 20:35:23 install libpopt0:amd64 <none> 1.16-10
2018-03-21 20:35:23 status half-installed libpopt0:amd64 1.16-10
2018-03-21 20:35:23 status unpacked libpopt0:amd64 1.16-10
2018-03-21 20:35:23 status unpacked libpopt0:amd64 1.16-10
2018-03-21 20:35:23 upgrade libudev1:amd64 229-4ubuntu21.1 229-4ubuntu21.2
2018-03-21 20:35:23 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:23 status half-configured libudev1:amd64 229-4ubuntu21.1
2018-03-21 20:35:23 status unpacked libudev1:amd64 229-4ubuntu21.1
2018-03-21 20:35:23 status half-installed libudev1:amd64 229-4ubuntu21.1
2018-03-21 20:35:23 status half-installed libudev1:amd64 229-4ubuntu21.1
2018-03-21 20:35:23 status unpacked libudev1:amd64 229-4ubuntu21.2
2018-03-21 20:35:23 status unpacked libudev1:amd64 229-4ubuntu21.2
2018-03-21 20:35:23 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-03-21 20:35:23 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:23 status installed libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:23 startup packages configure
2018-03-21 20:35:23 configure libudev1:amd64 229-4ubuntu21.2 <none>
2018-03-21 20:35:23 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:23 status unpacked libudev1:amd64 229-4ubuntu21.2
2018-03-21 20:35:23 status half-configured libudev1:amd64 229-4ubuntu21.2
2018-03-21 20:35:23 status installed libudev1:amd64 229-4ubuntu21.2
2018-03-21 20:35:23 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-03-21 20:35:23 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:23 status installed libc-bin:amd64 2.23-0ubuntu10
2018-03-21 20:35:24 startup archives unpack
2018-03-21 20:35:24 install udev:amd64 <none> 229-4ubuntu21.2
2018-03-21 20:35:24 status half-installed udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:24 status triggers-pending systemd:amd64 229-4ubuntu21.1
2018-03-21 20:35:24 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:24 status unpacked udev:amd64 229-4ubuntu21.2
2018-03-21 20:35:24 install locales:all <none> 2.23-0ubuntu10
2018-03-21 20:35:24 status half-installed locales:all 2.23-0ubuntu10
2018-03-21 20:35:24 status unpacked locales:all 2.23-0ubuntu10
2018-03-21 20:35:24 status unpacked locales:all 2.23-0ubuntu10
2018-03-21 20:35:24 install language-pack-en-base:all <none> 1:16.04+20160627
2018-03-21 20:35:24 status half-installed language-pack-en-base:all 1:16.04+20160627
2018-03-21 20:35:24 status unpacked language-pack-en-base:all 1:16.04+20160627
2018-03-21 20:35:24 status unpacked language-pack-en-base:all 1:16.04+20160627
2018-03-21 20:35:24 install language-pack-en:all <none> 1:16.04+20161009
2018-03-21 20:35:24 status half-installed language-pack-en:all 1:16.04+20161009
2018-03-21 20:35:24 status unpacked language-pack-en:all 1:16.04+20161009
2018-03-21 20:35:24 status unpacked language-pack-en:all 1:16.04+20161009
2018-03-21 20:35:24 install libsigsegv2:amd64 <none> 2.10-4
2018-03-21 20:35:24 status half-installed libsigsegv2:amd64 2.10-4
2018-03-21 20:35:24 status unpacked libsigsegv2:amd64 2.10-4
2018-03-21 20:35:24 status unpacked libsigsegv2:amd64 2.10-4
