2018-03-15 20:38:37 startup archives unpack
2018-03-15 20:38:37 install libfile-copy-recursive-perl:all <none> 0.38-1
2018-03-15 20:38:37 status half-installed libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 status unpacked libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 status unpacked libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 install tcpd:amd64 <none> 7.6.q-25
2018-03-15 20:38:37 status half-installed tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 status unpacked tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 status unpacked tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 install update-inetd:all <none> 4.43
2018-03-15 20:38:37 status half-installed update-inetd:all 4.43
2018-03-15 20:38:37 status unpacked update-inetd:all 4.43
2018-03-15 20:38:37 status unpacked update-inetd:all 4.43
2018-03-15 20:38:37 install openbsd-inetd:amd64 <none> 0.20140418-2
2018-03-15 20:38:37 status half-installed openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 status triggers-pending systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 install telnetd:amd64 <none> 0.17-40
2018-03-15 20:38:37 status half-installed telnetd:amd64 0.17-40
2018-03-15 20:38:37 status unpacked telnetd:amd64 0.17-40
2018-03-15 20:38:37 status unpacked telnetd:amd64 0.17-40
2018-03-15 20:38:37 trigproc systemd:amd64 229-4ubuntu21.1 <none>
2018-03-15 20:38:37 status half-configured systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 status installed systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 startup packages configure
2018-03-15 20:38:37 configure libfile-copy-recursive-perl:all 0.38-1 <none>
2018-03-15 20:38:37 status unpacked libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 status half-configured libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 status installed libfile-copy-recursive-perl:all 0.38-1
2018-03-15 20:38:37 configure tcpd:amd64 7.6.q-25 <none>
2018-03-15 20:38:37 status unpacked tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 status half-configured tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 status installed tcpd:amd64 7.6.q-25
2018-03-15 20:38:37 configure update-inetd:all 4.43 <none>
2018-03-15 20:38:37 status unpacked update-inetd:all 4.43
2018-03-15 20:38:37 status half-configured update-inetd:all 4.43
2018-03-15 20:38:37 status installed update-inetd:all 4.43
2018-03-15 20:38:37 configure openbsd-inetd:amd64 0.20140418-2 <none>
2018-03-15 20:38:37 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 status triggers-pending systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 status half-configured openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 status installed openbsd-inetd:amd64 0.20140418-2
2018-03-15 20:38:37 configure telnetd:amd64 0.17-40 <none>
2018-03-15 20:38:37 status unpacked telnetd:amd64 0.17-40
2018-03-15 20:38:37 status half-configured telnetd:amd64 0.17-40
2018-03-15 20:38:37 status installed telnetd:amd64 0.17-40
2018-03-15 20:38:37 trigproc systemd:amd64 229-4ubuntu21.1 <none>
2018-03-15 20:38:37 status half-configured systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 status installed systemd:amd64 229-4ubuntu21.1
2018-03-15 20:38:37 startup packages configure
2018-03-15 20:38:41 startup archives unpack
2018-03-15 20:38:41 install libnfnetlink0:amd64 <none> 1.0.1-3
2018-03-15 20:38:41 status half-installed libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 status unpacked libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 status unpacked libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 install libxtables11:amd64 <none> 1.6.0-2ubuntu3
2018-03-15 20:38:41 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 status half-installed libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 install iptables:amd64 <none> 1.6.0-2ubuntu3
2018-03-15 20:38:41 status half-installed iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status unpacked iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status unpacked iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-03-15 20:38:41 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 status installed libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 startup packages configure
2018-03-15 20:38:41 configure libnfnetlink0:amd64 1.0.1-3 <none>
2018-03-15 20:38:41 status unpacked libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 status half-configured libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 status installed libnfnetlink0:amd64 1.0.1-3
2018-03-15 20:38:41 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 configure libxtables11:amd64 1.6.0-2ubuntu3 <none>
2018-03-15 20:38:41 status unpacked libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status half-configured libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status installed libxtables11:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 configure iptables:amd64 1.6.0-2ubuntu3 <none>
2018-03-15 20:38:41 status unpacked iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status half-configured iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 status installed iptables:amd64 1.6.0-2ubuntu3
2018-03-15 20:38:41 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-03-15 20:38:41 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 status installed libc-bin:amd64 2.23-0ubuntu10
2018-03-15 20:38:41 startup packages configure
